id,budget,revenue,original_title,director,genres,production_companies,vote_count,release_year,budget_adj,revenue_adj
20007,0,0,The Bugs Bunny/Road Runner Movie,Chuck Jones,Comedy|Animation|Family,Warner Bros. Animation,10,1979,0.0,0.0
10912,0,0,All Quiet on the Western Front,Delbert Mann,Drama|History|War,Norman Rosemont Productions|Marble Arch Productions|ITC Entertainment Group,19,1979,0.0,0.0
22328,0,0,The Apple Dumpling Gang Rides Again,Vincent McEveety,Comedy|Family|Western,Walt Disney Productions,10,1979,0.0,0.0
40160,0,0,Meteor,Ronald Neame,Action|Science Fiction|Thriller,Palladium Productions|American International Pictures (AIP)|Meteor Joint Venture,14,1979,0.0,0.0
25476,420000,0,Scum,Alan Clarke,Crime|Drama,Berwick Street Productions|Boyd's Company|Kendon Films Ltd.,11,1979,1261912.68105066,0.0
42172,0,0,Hardcore,Paul Schrader,Crime|Drama|Thriller,Columbia Pictures Corporation|A-Team,16,1979,0.0,0.0
26659,0,0,Hanover Street,Peter Hyams,Drama|Romance|War,Columbia Pictures Corporation|Hanover Street,10,1979,0.0,0.0
18966,0,43885000,Love at First Bite,Stan Dragoti,Romance|Comedy|Horror,Melvin Simon Productions|American International Pictures (AIP),13,1979,0.0,131854852.399782
28942,1355000,0,The Brood,David Cronenberg,Horror|Thriller|Science Fiction,Canadian Film Development Corporation (CFDC)|Victor Solnicki Productions|Elgin International Films,47,1979,4071170.67338965,0.0
54013,800000,0,Stridulum,Giulio Paradisi,Science Fiction|Horror,Film Ventures International (FVI)|Brouwersgracht Investments|Swan American Film,11,1979,2403643.20200127,0.0
45964,0,0,When a Stranger Calls,Fred Walton,Horror|Thriller,Columbia Pictures Corporation|Melvin Simon Productions,16,1979,0.0,0.0
33831,0,0,The Onion Field,Harold Becker,Crime|Drama,Black Marble Productions,10,1979,0.0,0.0
233,0,0,The Wanderers,Philip Kaufman,Drama,Orion Pictures Corporation|Warner Bros. Home Entertainment Group,14,1979,0.0,0.0
23957,0,0,Over the Edge,Jonathan Kaplan,Crime|Drama,Orion Pictures,12,1979,0.0,0.0
13570,0,0,Tourist Trap,David Schmoeller,Horror|Mystery|Thriller,Charles Band Productions,24,1979,0.0,0.0
26326,300000,0,Rock 'n' Roll High School,Allan Arkush,Comedy|Music,New World Pictures,17,1979,901366.200750477,0.0
40842,0,22228000,Norma Rae,Martin Ritt,Drama,Twentieth Century Fox Film Corporation,13,1979,0.0,66785226.3676053
33521,0,0,Dracula,John Badham,Horror|Romance,Universal Pictures|The Mirisch Corporation,19,1979,0.0,0.0
30547,0,0,The Champ,Franco Zeffirelli,Drama|Family,Metro-Goldwyn-Mayer (MGM),12,1979,0.0,0.0
218,6400000,78371200,The Terminator,James Cameron,Action|Thriller|Science Fiction,Orion Pictures|Pacific Western|Hemdale Film|Cinema 84|Euro Film Funding,2692,1984,13433869.0508425,164504443.462092
87,28000000,333000000,Indiana Jones and the Temple of Doom,Steven Spielberg,Adventure|Action,Lucasfilm|Paramount Pictures,1735,1984,58773177.0974362,698980999.051652
620,30000000,295212467,Ghostbusters,Ivan Reitman,Fantasy|Action|Comedy|Science Fiction|Family,Columbia Pictures Corporation|Delphi Films|Black Rhino Productions,1383,1984,62971261.1758245,619663378.727216
927,11000000,153083102,Gremlins,Joe Dante,Fantasy|Horror|Comedy,Amblin Entertainment|Warner Bros.,844,1984,23089462.4311356,321327866.588246
34584,27000000,20158808,The Neverending Story,Wolfgang Petersen,Drama|Family|Fantasy|Adventure,Producers Sales Organization|Bavaria Film|Dieter Geissler Filmproduktion|Warner Bros.|Westdeutscher Rundfunk (WDR),484,1984,56674135.0582421,42314185.4520434
90,15000000,316360478,Beverly Hills Cop,Martin Brest,Action|Comedy|Crime,Paramount Pictures|Eddie Murphy Productions,535,1984,31485630.5879122,664053942.861556
311,30000000,0,Once Upon a Time in America,Sergio Leone,Drama|Crime,Warner Bros.|The Ladd Company,562,1984,62971261.1758245,0.0
279,18000000,51973029,Amadeus,MiloÅ¡ Forman,Drama|History|Music,Warner Bros.,560,1984,37782756.7054947,109093572.775256
1885,8000000,90815558,The Karate Kid,John G. Avildsen,Drama,Columbia Pictures Corporation|Jerry Weintraub Productions|Delphi Films,475,1984,16792336.3135532,190625674.054874
377,1800000,25504513,A Nightmare on Elm Street,Wes Craven,Horror,New Line Cinema|Smart Egg Pictures,625,1984,3778275.67054947,53535044.9761737
9610,18000000,31042035,Conan the Destroyer,Richard Fleischer,Adventure|Fantasy|Action,De Laurentiis Entertainment Group,193,1984,37782756.7054947,65158536.4471362
4437,28000000,40400657,2010,Peter Hyams,Thriller|Science Fiction,Metro-Goldwyn-Mayer (MGM),156,1984,58773177.0974362,84802677.4540635
841,40000000,30925690,Dune,David Lynch,Action|Science Fiction|Adventure,Dino De Laurentiis Company,294,1984,83961681.5677661,64914323.4010862
9326,10000000,86572238,Romancing the Stone,Robert Zemeckis,Action|Adventure|Comedy|Romance,Twentieth Century Fox Film Corporation|SLM Production Group|Nina Saxon Film Design|El Corazon Producciones S.A.,245,1984,20990420.3919415,181718766.989121
9336,4500000,81198894,Police Academy,Hugh Wilson,Comedy|Crime,Warner Bros.|The Ladd Company,270,1984,9445689.17637368,170439892.042069
1880,0,38376497,Red Dawn,John Milius,Action|Thriller,United Artists|Valkyrie Films,110,1984,0.0,80553880.5200082
157,18000000,87000000,Star Trek III: The Search for Spock,Leonard Nimoy,Science Fiction|Action|Adventure|Thriller,Paramount Pictures,239,1984,37782756.7054947,182616657.409891
23111,0,25100000,Moscow on the Hudson,Paul Mazursky,Comedy|Drama|Romance,Columbia Pictures,24,1984,0.0,52685955.1837732
1788,8200000,80035402,Footloose,Herbert Ross,Drama|Family|Music|Romance,Paramount Pictures|IndieProd Company Productions,282,1984,17212144.721392,167997673.421803
9730,0,32,Friday the 13th: The Final Chapter,Joseph Zito,Horror|Thriller,Paramount Pictures,100,1984,0.0,67.1693452542128
13820,1500000,2300000,Repo Man,Alex Cox,Comedy|Drama|Science Fiction,Edge City,54,1984,3148563.05879122,4827796.69014655
9314,0,0,Nineteen Eighty-Four,Michael Radford,Drama|Romance|Science Fiction,Umbrella-Rosenblum Film Production,135,1984,0.0,0.0
9651,35000000,0,Supergirl,Jeannot Szwarc,Adventure|Fantasy|Action|Science Fiction,St. Michael Finance Limited|Artistry Limited|Investors In Industry PLC|Robert Fleming Leasing Limited,44,1984,73466471.3717953,0.0
13924,0,0,The Adventures of AndrÃ© and Wally B.,Alvy Ray Smith,Animation,Lucasfilm|Pixar Animation Studios,32,1984,0.0,0.0
9663,22000000,28744356,Starman,John Carpenter,Action|Adventure|Drama|Romance|Science Fiction,Columbia Pictures|Delphi II Productions|Industrial Light & Magic (ILM),91,1984,46178924.8622713,60335611.6335626
12309,6000000,38435947,Bachelor Party,Neal Israel,Comedy,Bachelor Party Productions|Aspect Ratio Film|Twin Continental,67,1984,12594252.2351649,80678668.5692383
11031,0,4736202,This Is Spinal Tap,Rob Reiner,Comedy|Music,Spinal Tap Prod.,185,1984,0.0,9941487.10411542
11707,0,48143579,Tightrope,Richard Tuggle,Mystery|Thriller|Crime|Drama,Malpaso Productions,27,1984,0.0,101055396.238264
14774,0,0,Cheech & Chong's The Corsican Brothers,Tommy Chong,Comedy,MGM Home Entertainment,10,1984,0.0,0.0
15144,6500000,23686027,Sixteen Candles,John Hughes,Comedy|Romance,Universal Pictures,223,1984,13643773.2547619,49717966.4144877
625,14400000,34700291,The Killing Fields,Roland JoffÃ©,War|Drama|History,Goldcrest Films International|International Film Investors|Enigma Productions,78,1984,30226205.3643957,72837369.5812705
18462,3000000,14418922,Night of the Comet,Thom Eberhardt,Action|Comedy|Horror|Science Fiction|Thriller,Thomas Coleman and Michael Rosenblatt Productions|Film Development Fund|Atlantic Releasing Corporation,36,1984,6297126.11758245,30265923.4378614
5968,25300000,0,The Woman in Red,Gene Wilder,Comedy|Romance,Orion Pictures,40,1984,53105763.591612,0.0
1884,0,0,The Ewok Adventure,John Korty,Adventure|Science Fiction,Lucasfilm|Korty Films,34,1984,0.0,0.0
11884,15000000,28733290,The Last Starfighter,Nick Castle,Adventure|Science Fiction|Action,Universal Pictures|Lorimar Film Entertainment,101,1984,31485630.5879122,60312383.6343569
13189,0,0,A Christmas Carol,Clive Donner,TV Movie|Fantasy|Drama|Comedy|Family,Entertainment Partners Ltd.,29,1984,0.0,0.0
24264,25000000,5778353,Sheena,John Guillermin,Adventure|Fantasy|Action|Comedy|Science Fiction,Columbia Pictures Corporation|Delphi II Productions|Colgems Productions Ltd.,10,1984,52476050.9798538,12129005.8643036
11368,1500000,0,Blood Simple,Joel Coen,Crime|Drama|Thriller,Circle Films|River Road Productions|Foxton Entertainment,128,1984,3148563.05879122,0.0
2619,8000000,69821334,Splash,Ron Howard,Comedy|Fantasy|Romance,Touchstone Pictures,147,1984,16792336.3135532,146557915.298616
655,1746964,2181987,"Paris, Texas",Wim Wenders,Drama,Channel Four Films|Pro-ject Filmproduktion|Argos Films|Westdeutscher Rundfunk (WDR)|Road Movies Filmproduktion,146,1984,3666950.87695877,4580082.44197513
11507,10000000,8801940,Body Double,Brian De Palma,Mystery|Thriller,Columbia Pictures Corporation|Delphi II Productions,58,1984,20990420.3919415,18475642.0864645
11379,0,0,The Adventures of Buckaroo Banzai Across the 8th Dimension,W.D. Richter,Comedy|Science Fiction,Sherwood Productions,47,1984,0.0,0.0
16969,25000000,38348988,City Heat,Richard Benjamin,Action|Comedy|Crime,"Warner Bros.|Deliverance Productions|Malpaso Company, The",24,1984,52476050.9798538,80496137.972552
24099,0,12145169,Dreamscape,Joseph Ruben,Adventure|Horror|Science Fiction|Thriller,Weintraub Entertainment Group|Zupnik-Curtis Enterprises|Chevy Chase Films,23,1984,0.0,25493220.3041176
2669,8600000,0,The Bounty,Roger Donaldson,Action|Drama|History,Dino De Laurentiis Company,50,1984,18051761.5370697,0.0
2148,58000000,25928721,The Cotton Club,Francis Ford Coppola,Music|Drama|Crime|Romance,Orion Pictures|PSO International|Totally Independent,37,1984,121744438.27326,54425475.4015362
5677,0,0,Trancers,Charles Band,Horror|Science Fiction|Crime,Empire Pictures|# Lexyn Productions|Lexyn Productions,15,1984,0.0,0.0
11899,8000000,0,The Muppets Take Manhattan,Frank Oz,Romance|Comedy|Family,"TriStar Pictures|Jim Henson Company, The|Delphi II Productions",52,1984,16792336.3135532,0.0
8764,9000000,20458340,Top Secret!,Jim Abrahams|David Zucker|Jerry Zucker,Comedy,Paramount Pictures,117,1984,18891378.3527473,42942915.7121273
22160,0,0,Against All Odds,Taylor Hackford,Action|Adventure|Crime|Drama|Mystery,Columbia Pictures,14,1984,0.0,0.0
14347,0,0,Blame It on Rio,Stanley Donen,Comedy|Romance,Sherwood,19,1984,0.0,0.0
11002,0,45858563,"Greystoke: The Legend of Tarzan, Lord of the Apes",Hugh Hudson,Adventure|Drama|Action|Romance,Warner Bros.|Edgar Rice Burroughs Inc.,54,1984,0.0,96259051.5940335
11296,0,0,Birdy,Alan Parker,Drama|History,TriStar Pictures,49,1984,0.0,0.0
13763,7200000,68392977,Purple Rain,Albert Magnoli,Drama|Music|Romance,Warner Bros.|Water|Purple Films,39,1984,15113102.6821978,143559733.908638
52744,0,11129057,Falling in Love,Ulu Grosbard,Drama|Romance,Paramount Pictures,29,1984,0.0,23360358.4995879
15379,2550000,22812411,Missing in Action,Joseph Zito,Action|Adventure|Thriller|War,Cannon Group,50,1984,5352557.19994508,47884209.7043751
10631,0,0,All of Me,Carl Reiner,Fantasy|Comedy|Science Fiction|Romance,Universal Pictures|Kings Road Entertainment|Thorn EMI Screen Entertainment,34,1984,0.0,0.0
11393,28000000,47951979,The Natural,Barry Levinson,Drama,TriStar Pictures,74,1984,58773177.0974362,100653219.783555
14052,0,0,Revenge of the Nerds,Jeff Kanew,Comedy,Twentieth Century Fox Film Corporation|Interscope Communications|Zacharias-Buhai Productions,82,1984,0.0,0.0
10823,800000,14000000,Children of the Corn,Fritz Kiersch,Drama|Fantasy|Horror|Thriller,Hal Roach Studios|Cinema Group|Planet Productions|Angeles Entertainment Group|Inverness Productions,106,1984,1679233.63135532,29386588.5487181
33914,0,0,Frankenweenie,Tim Burton,Comedy|Family,Walt Disney Pictures,53,1984,0.0,0.0
15239,0,0,The Toxic Avenger,Lloyd Kaufman|Michael Herz,Science Fiction|Action|Comedy|Horror,Troma Entertainment,51,1984,0.0,0.0
18477,700000,0,The Hills Have Eyes Part II,Wes Craven,Horror,Castle Hill Productions|VTC,14,1984,1469329.4274359,0.0
