id,budget,revenue,original_title,director,genres,vote_count,release_year,budget_adj,revenue_adj
27581,100000000,170432927,The Other Guys,Adam McKay,Action|Comedy|Crime,951,2010,100000000.0,170432927.0
42941,0,0,30 Days of Night: Dark Days,Ben Ketai,Horror|Thriller,74,2010,0.0,0.0
49018,1500000,97009150,Insidious,James Wan,Horror|Thriller,999,2010,1500000.0,97009150.0
41233,30000000,159291809,Step Up 3D,Jon M. Chu,Drama|Romance,365,2010,30000000.0,159291809.0
45269,15000000,414211549,The King's Speech,Tom Hooper,Drama|History,1688,2010,15000000.0,414211549.0
43347,30000000,102820008,Love & Other Drugs,Edward Zwick,Drama|Comedy|Romance,756,2010,30000000.0,102820008.0
49009,30000000,20348249,The Way Back,Peter Weir,Drama|Adventure|History,246,2010,30000000.0,20348249.0
31867,32000000,18409891,Repo Men,Miguel Sapochnik,Action|Science Fiction|Thriller|Crime,375,2010,32000000.0,18409891.0
23830,7000000,7644937,Last Night,Massy Tadjedin,Drama|Romance,150,2010,7000000.0,7644937.0
37834,117000000,261930431,Knight and Day,James Mangold,Action|Comedy,1045,2010,117000000.0,261930431.0
38234,3000000,0,Undisputed III: Redemption,Isaac Florentine,Action|Thriller,87,2010,3000000.0,0.0
38167,60000000,204594016,Eat Pray Love,Ryan Murphy,Drama,407,2010,60000000.0,204594016.0
46705,1000000,12355734,Blue Valentine,Derek Cianfrance,Drama|Romance,530,2010,1000000.0,12355734.0
27573,40000000,136000000,The Bounty Hunter,Andy Tennant,Action,553,2010,40000000.0,136000000.0
25195,19000000,29922472,Leap Year,Anand Tucker,Romance|Comedy,283,2010,19000000.0,29922472.0
22972,100000000,94882889,Green Zone,Paul Greengrass,Action|Adventure|Drama|Thriller,445,2010,100000000.0,94882889.0
38745,112000000,237382724,Gulliver's Travels,Rob Letterman,Comedy,375,2010,112000000.0,237382724.0
34806,35000000,77477008,The Back-Up Plan,Alan Poul,Comedy|Romance,290,2010,35000000.0,77477008.0
37950,44000000,48190704,Charlie St. Cloud,Burr Steers,Drama,324,2010,44000000.0,48190704.0
